"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.126896270361748,0.00576549238773389,22.0096154548257,6.79416865704848e-105
"HHusmig_allperiod",0.00658120689626671,0.0171210316703811,0.384393126709298,0.700695220544546
"HHusmig_fem_allperiod",0.043169614604768,0.0419755503375388,1.02844666139282,0.30376449998604
"factor(id_panelgroup)2",-0.00773924842882961,0.00646734237568211,-1.19666595322524,0.231464988311677
"hhmaxedu_q1",-0.00406166468925804,0.00285013661820518,-1.42507719219993,0.154165917796873
